dimension,k,n,time
2,10,100,472613
3,10,100,499652
4,10,100,583415
5,10,100,656638
6,10,100,657367
7,10,100,703578
8,10,100,768887
9,10,100,917536
10,10,100,939474
2,10,100,444637
2,10,110,463855
2,10,120,555966
2,10,130,574111
2,10,140,654373
2,10,150,642551
2,10,160,740360
2,10,170,852773
2,10,180,832383
2,10,190,820993
2,10,200,948313
2,10,210,895340
2,10,220,1004592
2,10,230,1130900
2,10,240,1171091
2,10,250,1095983
2,10,260,1271752
2,10,270,1255217
2,10,280,1281603
2,10,290,1346167
2,10,300,1336004
2,10,310,1375622
2,10,320,1543468
2,10,330,1472835
2,10,340,1603797
2,10,350,1699028
2,10,360,1549232
2,10,370,1641131
2,10,380,1634759
2,10,390,1641317
2,10,400,1692053
2,10,410,1873986
2,10,420,1956164
2,10,430,1937486
2,10,440,2080500
2,10,450,2166482
2,10,460,2265004
2,10,470,2280081
2,10,480,2209182
2,10,490,2259238
2,10,500,2218553
2,10,510,2446164
2,10,520,2491289
2,10,530,2410372
2,10,540,2376216
2,10,550,2499741
2,10,560,2474071
2,10,570,2437404
2,10,580,2609098
2,10,590,2909682
2,10,600,2595255
2,5,100,462108
2,6,100,474998
2,7,100,434526
2,8,100,475831
2,9,100,490307
2,10,100,454129
2,11,100,451918
2,12,100,419126
2,13,100,447352
2,14,100,435995
