dimension,k,n,time
2,10,0,25296
2,10,0,27037
2,10,0,25905
2,10,0,24818
2,10,0,25220
2,10,0,29816
2,10,0,25905
2,10,0,27366
2,10,0,26024
2,10,100,23673
2,10,110,30494
2,10,120,33285
2,10,130,37132
2,10,140,36223
2,10,150,43764
2,10,160,44072
2,10,170,45389
2,10,180,51902
2,10,190,55395
2,10,200,49857
2,10,210,53910
2,10,220,64543
2,10,230,61948
2,10,240,61757
2,10,250,72309
2,10,260,72743
2,10,270,89532
2,10,280,85867
2,10,290,90535
2,10,300,86727
2,10,310,91114
2,10,320,89662
2,10,330,91519
2,10,340,90539
2,10,350,105461
2,10,360,91544
2,10,370,94469
2,10,380,112634
2,10,390,101102
2,10,400,109610
2,10,410,116717
2,10,420,120887
2,10,430,114132
2,10,440,119213
2,10,450,118913
2,10,460,131338
2,10,470,123947
2,10,480,119121
2,10,490,127253
2,10,500,145859
2,10,510,144258
2,10,520,133996
2,10,530,135760
2,10,540,142311
2,10,550,137948
2,10,560,154365
2,10,570,152052
2,10,580,168106
2,10,590,175092
2,10,600,177932
2,5,100,17567
2,6,100,18705
2,7,100,21820
2,8,100,25228
2,9,100,28219
2,10,100,27644
2,11,100,27185
2,12,100,28437
2,13,100,29422
2,14,100,30255
