dimension,k,n,time
2,10,100,89871
3,10,100,105947
4,10,100,130313
5,10,100,152349
6,10,100,170715
7,10,100,200728
8,10,100,225485
9,10,100,253724
10,10,100,270390
2,10,100,75338
2,10,110,79890
2,10,120,88459
2,10,130,101870
2,10,140,108852
2,10,150,111783
2,10,160,117119
2,10,170,126080
2,10,180,133939
2,10,190,144482
2,10,200,147359
2,10,210,149988
2,10,220,156315
2,10,230,176153
2,10,240,177182
2,10,250,189290
2,10,260,192853
2,10,270,201084
2,10,280,211849
2,10,290,216864
2,10,300,223976
2,10,310,229752
2,10,320,234144
2,10,330,247293
2,10,340,250619
2,10,350,244127
2,10,360,248793
2,10,370,264529
2,10,380,288022
2,10,390,293800
2,10,400,303097
2,10,410,315038
2,10,420,320573
2,10,430,318265
2,10,440,314030
2,10,450,329589
2,10,460,325716
2,10,470,353743
2,10,480,366500
2,10,490,373803
2,10,500,373146
2,10,510,372274
2,10,520,366013
2,10,530,406889
2,10,540,416698
2,10,550,424786
2,10,560,421206
2,10,570,414557
2,10,580,439319
2,10,590,434473
2,10,600,450313
2,5,100,73934
2,6,100,74998
2,7,100,76046
2,8,100,75052
2,9,100,75289
2,10,100,75318
2,11,100,75872
2,12,100,76130
2,13,100,85097
2,14,100,84651
