dimension,k,n,time
2,10,0,53448
3,10,0,72911
4,10,0,126316
5,10,0,217900
6,10,0,295356
7,10,0,382208
8,10,0,454172
9,10,0,537076
10,10,0,566742
2,10,100,49285
2,10,110,53621
2,10,120,58388
2,10,130,63837
2,10,140,65521
2,10,150,82225
2,10,160,77886
2,10,170,82831
2,10,180,90595
2,10,190,89911
2,10,200,98103
2,10,210,105108
2,10,220,110155
2,10,230,106722
2,10,240,121074
2,10,250,122403
2,10,260,127748
2,10,270,133092
2,10,280,140127
2,10,290,145906
2,10,300,149639
2,10,310,150268
2,10,320,158867
2,10,330,157434
2,10,340,165245
2,10,350,175268
2,10,360,179069
2,10,370,177094
2,10,380,179131
2,10,390,194040
2,10,400,195572
2,10,410,194379
2,10,420,217916
2,10,430,219238
2,10,440,226273
2,10,450,234933
2,10,460,241553
2,10,470,243261
2,10,480,246910
2,10,490,246939
2,10,500,258723
2,10,510,251950
2,10,520,263331
2,10,530,254111
2,10,540,290472
2,10,550,272064
2,10,560,280214
2,10,570,289179
2,10,580,285425
2,10,590,282417
2,10,600,293734
2,5,100,26348
2,6,100,33158
2,7,100,39775
2,8,100,47629
2,9,100,45411
2,10,100,53041
2,11,100,49724
2,12,100,51005
2,13,100,53415
2,14,100,55273
